CRN,Course #,Sc,Title,Units,CAP,Enr,Instructor,Days,Times,Room,Comments/Prereq.,Perm Only
Clear CRN Filter,Clear Course # Filter,Clear Sc Filter,Clear Title Filter,Clear Units Filter,Clear CAP Filter,Clear Enr Filter,Clear Instructor Filter,Clear Days Filter,Clear Times Filter,Clear Room Filter,Clear Comments/Prereq. Filter,Clear Perm Only Filter
33468,MSDA 3060,3,DATA VISUALIZ'TN & STORY TEL'G,1.00,30,31,Kayed Akkawi,-,-,ONLINE,MSDA & MSCS ONLY,N
33923,MSDA 3090,1,PYTHON FOR DATA ANALYTICS,1.00,30,24,Salem Othman,S,12:00 PM - 03:00 PM,JC104,"MSCS, MSDA & MSIT ONLY; SOME ONLINE MEET'GS",N
33249,MSDA 3100,1,APPLIED DEEP LEARNING,1.00,30,27,Ahmed ElSayed,R,06:30 PM - 09:30 PM,JC106,P=MSDA 3050; MSCS & MSDA ONLY; SOME ONLINE MEET'GS,N
31257,MSDA 3999,1,CAPSTONE PRACTICUM,1.00,25,15,Khald Aboalayon,-,-,-,"P=MSDA 3050 & 3060; MSDA ONLY; IN-PERSON MEETINGS REQUIRED, AS SCHEDULED BY FACULTY",N
33924,MSEA 3010,1,THE BUSINESS OF ESPORTS,1.00,20,4,Anthony D'Onofrio,-,-,ONLINE,,N
33925,MSEA 3120,1,SPORTS SPONSORSHIP,1.00,20,6,JJ Alberts,M,06:30 PM - 09:30 PM,G104,SOME ONLINE MEET'GS,N
33235,MSEA 3130,1,SPORTS FINANCE,1.00,20,6,Patrick Leary,W,06:30 PM - 09:30 PM,G104,SOME ONLINE MEET'GS,N
33927,MSEA 3999,1,CAPSTONE,1.00,20,5,JJ Alberts,-,-,ONLINE,"SOME MEET'GS REQUIRED, AS SCHEDULED W/FACULTY",N
34008,MSIT 3000,1,IT FOUNDATIONS,1.00,60,38,Matthew Farrell,M,06:30 PM - 09:30 PM,JC001,,Y
32178,MSIT 3050,1,INFO SYSTEMS ANALYSIS & DESIGN,1.00,30,28,Christina McCarthy,T,06:30 PM - 09:30 PM,ES303,,N
34009,MSIT 3101,1,INDUSTRY/CREATIVE APP GEN AI,1.00,30,31,Kevin Keller,W,06:30 PM - 09:30 PM,ONLINE,P=MSIT 3000,N
34103,MSIT 3101,2,INDUSTRY/CREATIVE APP GEN AI,1.00,30,13,Kevin Keller,R,06:30 PM - 09:30 PM,ONLINE,P=MSIT 3000,N
33253,MSIT 3110,1,CYBER SECURITY FUNDAMENTALS,1.00,30,30,Harshita Sharma,R,06:30 PM - 09:30 PM,ES303,,N
34014,MSIT 3150,1,SECURITY ARCHITECTURE & DESIGN,1.00,30,9,Scott McCarthy,T,06:00 PM - 09:00 PM,OFFCAM,HEALTH IT ARCHITECTURES STUDENTS ONLY;P=MSIT 3110,N
34010,MSIT 3202,1,DIGITAL PROD MGMT/DATA-DRIVEN,1.00,30,22,Kevin Keller,T,06:30 PM - 09:30 PM,ONLINE,P=MSIT 3000,N
31271,MSIT 3250,1,NETWORK ARCHITECTURE & DESIGN,1.00,60,37,Peter Wyner,M,06:30 PM - 09:30 PM,S120,SOME ONLINE MEET'GS,N
34011,MSIT 3300,1,HEALTHCARE TECH FOUNDATIONS,1.00,30,24,Amy Molten,M,06:30 PM - 09:30 PM,JC120,P=MSIT 3000,N
34012,MSIT 3301,1,DIGITAL HEALTH APPL & ARCH,1.00,30,29,Scott Nelson,W,06:30 PM - 09:30 PM,JC106,P=MSIT 3000,N
30811,MSIT 3350,1,DATA MINING WITH SPLUNK,1.00,30,34,Dean Cascione,R,06:30 PM - 09:30 PM,JC102,MSDA ONLY,N
34090,MSIT 3410,1,IT STRATEGY LEADERSHIP,1.00,30,28,Enrique Laso Sanz,W,06:30 PM - 09:30 PM,JC120,,N
33928,MSIT 3470,1,CLOUD COMPUTING,1.00,30,31,Venkat Teja Peram,T,06:30 PM - 09:30 PM,MACD002,P=MSIT 3050,N
34137,MSIT 3470,2,CLOUD COMPUTING,1.00,30,30,Scott Nelson,M,06:30 PM - 09:30 PM,JC217,P=MSIT 3050; SOME ONLINE MEET'GS,N
32609,MSIT 3780,1,INTRO INCIDENT RESP/DIGITAL FO,1.00,60,60,Scott McCarthy,R,06:30 PM - 09:30 PM,JC001,P=MSIT 3110,N
31251,MSIT 3820,1,BUSINESS INTELLIGENCE,1.00,30,28,Meredith Corey,T,06:30 PM - 09:30 PM,JC102,SOME ONLINE MEET'GS,N
32089,MSIT 3840,1,IT PROJECT MGMT FUNDAMENTALS,1.00,30,14,Paul Ledoux,R,06:30 PM - 09:30 PM,JC118,MSIT STUDENTS ONLY,N
34077,MSIT 3840,2,IT PROJECT MGMT FUNDAMENTALS,1.00,30,5,Paul Ledoux,F,01:25 PM - 04:25 PM,JC206,MSIT STUDENTS ONLY,N
32153,MSIT 3860,1,DATA MGMT FOR INFO TECH,1.00,30,31,Andrea Jaskulski,M,06:30 PM - 09:30 PM,JC215,,N
34219,MSIT 3860,2,DATA MGMT FOR INFO TECH,1.00,30,25,Taher Al Sharif,T,06:30 PM - 09:30 PM,JC106,,N
30977,MSIT 3999,1,CAPSTONE PRACTICUM,1.00,20,14,Jas Gaurav Singh,M,02:50 PM - 05:50 PM,BP220,MSIT ONLY; SOME ONLINE MEET'GS WITH FACULTY,N
33929,MSPM 3460,1,AGILE PROJECT DELIVERY,1.00,30,19,Jeremy Kauffman,M,02:50 PM - 05:50 PM,JC215,,N
34168,MSPM 3480,1,OPERATIONS MGMT WITH LEAN,1.00,30,13,Brian LeBlanc,W,06:00 PM - 09:00 PM,OFFCAM,IT WORKFORCE LEADERSHIP ONLY,N
32631,MSPM 3580,1,PROJ MGMT RISK/QUALITY/CHANGE,1.00,30,9,Brian LeBlanc,M,06:30 PM - 09:30 PM,JC118,P=MSPM 3460 & 3840 & 3850,N
32647,MSPM 3680,1,PROGRAM & PORTFOLIO MGMT,1.00,30,6,Jeremy Kauffman,M,06:30 PM - 09:30 PM,ASEC304,P=MSPM 3460 & 3840 & 3850; SOME ONLINE MEET'GS,N
33930,MSPM 3770,1,"PROJ/PORTFOLIO ECON, FIN/PROCU",1.00,30,9,Lilo Altali,T,06:30 PM - 09:30 PM,BP326,P=MSPM 3460 & 3840 & 3850,N
31926,MSPM 3790,1,MANAGING TROUBLED PROJECTS,1.00,30,2,Jeremy Kauffman,T,06:30 PM - 09:30 PM,JC215,P=MSPM 3460 & 3840 & 3850; SOME ONLINE MEET'GS,N
33931,MSPM 3840,1,PROJECT MGMT FUNDAMENTALS,1.00,30,32,Joshua Moretti,R,06:30 PM - 09:30 PM,JC218,,N
33932,MSPM 3850,1,PROJ LEADERSIP & ORGANIZATION,1.00,30,16,Paul Ledoux,T,06:30 PM - 09:30 PM,S210,,N
33933,MSPM 3851,1,PROJ COMM & STAKEHOLDER MGMT,1.00,30,8,Laura Twohig,M,02:50 PM - 05:50 PM,JC102,P=MSPM 3460 & 3840 & 3850;SOME ONLINE MEET'GS,N
